case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp1,liger_tp,70,4,0.92138671875,0.9062941305331427,0.9364793069668573
b300-tp1,liger_tp,71,4,0.94677734375,0.93560777631878,0.95794691118122
b300-tp1,liger_tp,72,4,0.912109375,0.8989238513873349,0.9252948986126651
b300-tp1,liger_tp,73,4,0.90234375,0.8743155366885299,0.9303719633114701
b300-tp1,liger_tp,74,4,0.94580078125,0.9231930299042334,0.9684085325957666
b300-tp1,liger_tp,75,4,0.93115234375,0.924261117463026,0.938043570036974
b300-tp1,liger_tp,76,4,0.955078125,0.9474654593928216,0.9626907906071784
b300-tp1,liger_tp,77,4,0.900390625,0.8819169442764649,0.9188643057235351
b300-tp1,liger_tp,78,4,0.9453125,0.9328810691199855,0.9577439308800145
b300-tp1,liger_tp,79,4,0.94580078125,0.9298777487277577,0.9617238137722423
b300-tp1,liger_tp,80,4,0.92236328125,0.9164802015354372,0.9282463609645628
b300-tp1,liger_tp,81,4,0.92578125,0.9059623103029164,0.9456001896970836
b300-tp1,liger_tp,82,4,0.9140625,0.8906673969987048,0.9374576030012952
b300-tp1,liger_tp,83,4,0.9296875,0.9205382146034524,0.9388367853965476
b300-tp1,liger_tp,84,4,0.96875,0.9579840650525171,0.9795159349474829
b300-tp1,liger_tp,85,4,0.95361328125,0.9349014999135733,0.9723250625864267
b300-tp1,liger_tp,86,4,0.90380859375,0.896038949449991,0.911578238050009
b300-tp1,liger_tp,87,4,0.919921875,0.8907675853416122,0.9490761646583878
b300-tp1,liger_tp,88,4,0.92041015625,0.9025794291544412,0.9382408833455588
b300-tp1,liger_tp,89,4,0.93701171875,0.9132920241450195,0.9607314133549805
b300-tp1,liger_tp,90,4,0.92919921875,0.904942659682929,0.953455777817071
b300-tp1,liger_tp,91,4,0.9130859375,0.8969370350787756,0.9292348399212244
b300-tp1,liger_tp,92,4,0.916015625,0.8865318978831521,0.9454993521168479
b300-tp1,liger_tp,93,4,0.89892578125,0.866293275189962,0.931558287310038
b300-tp1,liger_tp,94,4,0.92626953125,0.9166485487339252,0.9358905137660748
b300-tp1,liger_tp,95,4,0.94287109375,0.9234832752444794,0.9622589122555206
b300-tp1,liger_tp,96,4,0.93994140625,0.9203882302213289,0.9594945822786711
b300-tp1,liger_tp,97,4,0.9501953125,0.9470874547799963,0.9533031702200037
b300-tp1,liger_tp,98,4,0.908203125,0.8805216658221008,0.9358845841778992
b300-tp1,liger_tp,99,4,0.92138671875,0.8983556966248839,0.9444177408751161
b300-tp1,liger_tp,100,4,0.91357421875,0.903624219203276,0.923524218296724
h200-tp4,triton,1,4,0.3671875,0.18193244641139214,0.5524425535886078
h200-tp4,triton,2,4,0.5052083283662796,0.34140111616196667,0.6690155405705925
h200-tp4,triton,3,4,0.3515625074505806,0.17439340868634515,0.5287316062148161
h200-tp4,triton,4,4,0.5625,0.44686864442391233,0.6781313555760876
h200-tp4,triton,5,4,0.5104166567325592,0.41471947180161123,0.6061138416635072
h200-tp4,triton,6,4,0.4348958283662796,0.3350996520495485,0.5346920046830107
h200-tp4,triton,7,4,0.5182291716337204,0.3910022590988447,0.6454560841685961
h200-tp4,triton,8,4,0.4895833358168602,0.33948814498027235,0.639678526653448
h200-tp4,triton,9,4,0.5156250074505806,0.37336089303892095,0.6578891218622402
h200-tp4,triton,10,4,0.3645833283662796,0.2811564418835434,0.4480102148490158
h200-tp4,triton,11,4,0.5234375074505806,0.4686722814565671,0.5782027334445942
h200-tp4,triton,12,4,0.5104166641831398,0.40046894547066053,0.6203643828956191
h200-tp4,triton,13,4,0.5286458432674408,0.47223315909187585,0.5850585274430058
h200-tp4,triton,14,4,0.5572916716337204,0.5255525314686185,0.5890308117988223
h200-tp4,triton,15,4,0.59375,0.5302716701389764,0.6572283298610236
h200-tp4,triton,16,4,0.6953125,0.5850528794084158,0.8055721205915842
h200-tp4,triton,17,4,0.5364583358168602,0.3155242005988674,0.757392471034853
h200-tp4,triton,18,4,0.71875,0.5135023900112184,0.9239976099887816
h200-tp4,triton,19,4,0.7395833432674408,0.5738308999191508,0.9053357866157308
h200-tp4,triton,20,4,0.671875,0.5184607093654092,0.8252892906345908
h200-tp4,triton,21,4,0.6744791716337204,0.5986727508858255,0.7502855923816153
h200-tp4,triton,22,4,0.6796875149011612,0.5120807650957813,0.8472942647065411
h200-tp4,triton,23,4,0.7708333283662796,0.6820873688549847,0.8595792878775745
h200-tp4,triton,24,4,0.7708333283662796,0.7045323794802508,0.8371342772523084
h200-tp4,triton,25,4,0.8046875,0.7012858131288262,0.9080891868711738
h200-tp4,triton,26,4,0.7213541567325592,0.5948491250527822,0.8478591884123362
h200-tp4,triton,27,4,0.8203125,0.6571354654240392,0.9834895345759608
h200-tp4,triton,28,4,0.7239583432674408,0.6111329981390352,0.8367836883958464
h200-tp4,triton,29,4,0.7708333432674408,0.7150327540511878,0.8266339324836938
h200-tp4,triton,30,4,0.8072916865348816,0.7575659630148237,0.8570174100549395
h200-tp4,triton,31,4,0.8776041716337204,0.7673445451013573,0.9878637981660835
h200-tp4,triton,32,4,0.7942708432674408,0.679135513428742,0.9094061731061396
h200-tp4,triton,33,4,0.8723958283662796,0.8247870589568187,0.9200045977757405
h200-tp4,triton,34,4,0.8515625,0.8079703550041427,0.8951546449958573
h200-tp4,triton,35,4,0.8854166716337204,0.8219383004970215,0.9488950427704193
h200-tp4,triton,36,4,0.7578125,0.6124440802722906,0.9031809197277094
h200-tp4,triton,37,4,0.8307291716337204,0.7727158388179721,0.8887425044494687
h200-tp4,triton,38,4,0.8020833283662796,0.7386050067603919,0.8655616499721673
h200-tp4,triton,39,4,0.8333333134651184,0.8333333134651184,0.8333333134651184
h200-tp4,triton,40,4,0.8619791716337204,0.7398948894077657,0.9840634538596751
h200-tp4,triton,41,4,0.8541666567325592,0.8158877586664944,0.892445554798624
h200-tp4,triton,42,4,0.8749999850988388,0.7812362616309965,0.9687637085666811
h200-tp4,triton,43,4,0.9166666716337204,0.8625321735560071,0.9708011697114337
h200-tp4,triton,44,4,0.8020833432674408,0.7186564630659198,0.8855102234689618
h200-tp4,triton,45,4,0.8984375149011612,0.8642667683356899,0.9326082614666324
h200-tp4,triton,46,4,0.8229166567325592,0.7394897765310382,0.9063435369340802
h200-tp4,triton,47,4,0.7890625149011612,0.7414537454917003,0.8366712843106221
h200-tp4,triton,48,4,0.78125,0.668019534167357,0.894480465832643
h200-tp4,triton,49,4,0.9375000149011612,0.8711990660151324,1.00380096378719
h200-tp4,triton,50,4,0.78125,0.6978231072360401,0.8646768927639599
h200-tp4,triton,51,4,0.84375,0.7802716701389764,0.9072283298610236
h200-tp4,triton,52,4,0.8515625,0.8148093121466237,0.8883156878533763
h200-tp4,triton,53,4,0.8645833283662796,0.8314328302121925,0.8977338265203667
h200-tp4,triton,54,4,0.8229166716337204,0.7594383500278327,0.8863949932396081
h200-tp4,triton,55,4,0.8541666567325592,0.8158877586664944,0.892445554798624
h200-tp4,triton,56,4,0.8645833283662796,0.8011049572295807,0.9280616995029785
h200-tp4,triton,57,4,0.9270833432674408,0.8939328925354991,0.9602337939993825
h200-tp4,triton,58,4,0.7786458432674408,0.7372077087192956,0.820083977815586
h200-tp4,triton,59,4,0.8203125,0.7889361026909035,0.8516888973090965
h200-tp4,triton,60,4,0.8723958432674408,0.7707809183861635,0.9740107681487181
h200-tp4,triton,61,4,0.8958333432674408,0.8295323469592666,0.962134339575615
h200-tp4,triton,62,4,0.8723958432674408,0.8113068419684154,0.9334848445664662
h200-tp4,triton,63,4,0.8697916716337204,0.8532164462677495,0.8863668969996913
h200-tp4,triton,64,4,0.9583333283662796,0.9041988302885663,1.012467826443993
h200-tp4,triton,65,4,0.8255208283662796,0.7497144076183847,0.9013272491141745
h200-tp4,triton,66,4,0.9453125,0.8695060775239473,1.0211189224760526
h200-tp4,triton,67,4,0.8854166716337204,0.8522661734796333,0.9185671697878075
h200-tp4,triton,68,4,0.9348958432674408,0.9007251312066433,0.9690665553282383
h200-tp4,triton,69,4,0.8489583283662796,0.8095013334159765,0.8884153233165827
h200-tp4,triton,70,4,0.7291666716337204,0.643572490187245,0.8147608530801957
h200-tp4,triton,71,4,0.8177083283662796,0.778251373258539,0.8571652834740202
h200-tp4,triton,72,4,0.8854166716337204,0.8522661734796333,0.9185671697878075
h200-tp4,triton,73,4,0.9244791567325592,0.8274750366885113,1.021483276776607
h200-tp4,triton,74,4,0.78125,0.6978231072360401,0.8646768927639599
h200-tp4,triton,75,4,0.7473958134651184,0.6532665380321138,0.841525088898123
h200-tp4,triton,76,4,0.8203125,0.8044429257898639,0.8361820742101361
h200-tp4,triton,77,4,0.7552083432674408,0.6868668501364983,0.8235498363983833
h200-tp4,triton,78,4,0.8125000149011612,0.7461990660151324,0.87880096378719
h200-tp4,triton,79,4,0.9895833283662796,0.9564328302121925,1.0227338265203667
h200-tp4,triton,80,4,0.9088541716337204,0.8330477405168695,0.9846606027505713
h200-tp4,triton,81,4,0.8333333432674408,0.7242217657185325,0.9424449208163491
h200-tp4,triton,82,4,0.8489583432674408,0.7671946180083211,0.9307220685265605
h200-tp4,triton,83,4,0.9401041567325592,0.9059334446717617,0.9742748687933567
h200-tp4,triton,84,4,0.9166666865348816,0.9166666865348816,0.9166666865348816
h200-tp4,triton,85,4,0.9375,0.8519058307978716,1.0230941692021283
