case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp1,liger_tp,58,4,0.0,0.0,0.0
b300-tp1,liger_tp,59,4,0.0,0.0,0.0
b300-tp1,liger_tp,60,4,0.0,0.0,0.0
b300-tp1,liger_tp,61,4,0.0,0.0,0.0
b300-tp1,liger_tp,62,4,0.0,0.0,0.0
b300-tp1,liger_tp,63,4,0.0,0.0,0.0
b300-tp1,liger_tp,64,4,0.0,0.0,0.0
b300-tp1,liger_tp,65,4,0.0,0.0,0.0
b300-tp1,liger_tp,66,4,0.0,0.0,0.0
b300-tp1,liger_tp,67,4,0.0,0.0,0.0
b300-tp1,liger_tp,68,4,0.0,0.0,0.0
b300-tp1,liger_tp,69,4,0.0,0.0,0.0
b300-tp1,liger_tp,70,4,0.0,0.0,0.0
b300-tp1,liger_tp,71,4,0.0,0.0,0.0
b300-tp1,liger_tp,72,4,0.0,0.0,0.0
b300-tp1,liger_tp,73,4,0.0,0.0,0.0
b300-tp1,liger_tp,74,4,0.0,0.0,0.0
b300-tp1,liger_tp,75,4,0.0,0.0,0.0
b300-tp1,liger_tp,76,4,0.0,0.0,0.0
b300-tp1,liger_tp,77,4,0.0,0.0,0.0
b300-tp1,liger_tp,78,4,0.0,0.0,0.0
b300-tp1,liger_tp,79,4,0.0,0.0,0.0
b300-tp1,liger_tp,80,4,0.0,0.0,0.0
b300-tp1,liger_tp,81,4,0.0,0.0,0.0
b300-tp1,liger_tp,82,4,0.0,0.0,0.0
b300-tp1,liger_tp,83,4,0.0,0.0,0.0
b300-tp1,liger_tp,84,4,0.0,0.0,0.0
b300-tp1,liger_tp,85,4,0.0,0.0,0.0
b300-tp1,liger_tp,86,4,0.0,0.0,0.0
b300-tp1,liger_tp,87,4,0.0,0.0,0.0
b300-tp1,liger_tp,88,4,0.0,0.0,0.0
b300-tp1,liger_tp,89,4,0.0,0.0,0.0
b300-tp1,liger_tp,90,4,0.0,0.0,0.0
b300-tp1,liger_tp,91,4,0.0,0.0,0.0
b300-tp1,liger_tp,92,4,0.0,0.0,0.0
b300-tp1,liger_tp,93,4,0.0,0.0,0.0
b300-tp1,liger_tp,94,4,0.0,0.0,0.0
b300-tp1,liger_tp,95,4,0.0,0.0,0.0
