device,tp,tokens,mode,triton_ms,liger_ms,triton_effective_tflops_per_gpu,liger_effective_tflops_per_gpu,mean_paired_gain_percent,gain_ci95_low,gain_ci95_high,triton_seed_cv_percent,liger_seed_cv_percent,triton_wall_ms,liger_wall_ms,triton_seed_ms,liger_seed_ms
NVIDIA B300 SXM6 PC,1,5120,backward,19.20574200153351,15.106886088848114,414.7625307141978,527.2974264815805,27.133358882067157,26.47498155916726,27.79173620496705,0.011073739900230297,0.31945029742732156,19.22126162389759,15.12317155720666,"[19.203375816345215, 19.20854425430298, 19.205416202545166, 19.205631732940674]","[15.177328109741211, 15.0939359664917, 15.068032026290894, 15.088248252868652]"
NVIDIA B300 SXM6 PC,1,5120,full,26.639316082000732,18.208401918411255,448.5375374660368,656.2208637935519,46.3027370901335,45.85339918049741,46.75207499976958,0.00936584394854593,0.19292147434533943,26.654047433112282,18.222506179881748,"[26.635984420776367, 26.641679763793945, 26.638928413391113, 26.640671730041504]","[18.20788812637329, 18.242151737213135, 18.223487854003906, 18.160079956054688]"
NVIDIA B300 SXM6 PC,4,3328,inference_forward,2.786197990179062,1.0002940073609352,464.5922885030899,1294.0656356575835,178.5421622745961,176.21293318762469,180.87139136156753,0.1830459690150342,0.4057251969466511,2.7994089978164993,1.0123249303433113,"[2.7785679697990417, 2.7882239818573, 2.7889439463615417, 2.7890560626983643]","[1.0036640167236328, 0.9976079761981964, 0.9960400313138962, 1.0038640052080154]"
NVIDIA B300 SXM6 PC,4,3328,forward,2.806543990969658,0.9854720011353493,461.2242333079448,1313.529049012743,184.7947173703494,180.36816354565906,189.22127119503972,0.8561927506445006,0.21462026038893228,2.8195779377711006,0.9973809283110313,"[2.8306559920310974, 2.773624002933502, 2.8147119879722595, 2.8071839809417725]","[0.98403200507164, 0.9870879948139191, 0.9874719977378845, 0.9832960069179535]"
NVIDIA B300 SXM6 PC,4,3328,backward,5.257656008005142,4.139482021331787,492.40425714771635,625.4145295519561,27.01262240751395,26.68805814320637,27.337186671821527,0.03595734954103782,0.1394028259595742,5.272472932119854,4.154638547333889,"[5.2562479972839355, 5.255824089050293, 5.259016036987305, 5.259535908699036]","[4.146936058998108, 4.137207984924316, 4.140480041503906, 4.133303999900818]"
NVIDIA B300 SXM6 PC,4,3328,full,7.866008013486862,5.091074049472809,493.68603423511956,762.7738790878769,54.50621211081748,54.107039934752436,54.90538428688252,0.03698544122113172,0.18668719249378926,7.880810015194584,5.104990443214774,"[7.86684787273407, 7.86188805103302, 7.868728041648865, 7.866568088531494]","[5.102663993835449, 5.079408049583435, 5.091648101806641, 5.0905760526657104]"
NVIDIA B300 SXM6 PC,4,3648,inference_forward,3.1221579909324646,1.146346002817154,454.46517306327195,1237.7694589530672,172.3595666727776,170.68117998250406,174.03795336305112,0.43993272983283704,0.5077211628517109,3.134831633360591,1.158824990852736,"[3.1123040318489075, 3.1327439546585083, 3.135143995285034, 3.1084399819374084]","[1.1406240165233612, 1.154416024684906, 1.1458800137043, 1.1444639563560486]"
NVIDIA B300 SXM6 PC,4,3648,forward,3.111616000533104,1.127870000898838,456.0048770275323,1258.045759306676,175.88867618967097,173.58154224594114,178.1958101334008,0.4615069593652679,0.6030654711126652,3.124906557786744,1.1400596849853173,"[3.1230079531669617, 3.119912028312683, 3.0911360383033752, 3.1124079823493958]","[1.1359599828720093, 1.1220960021018982, 1.1223920285701752, 1.1310319900512695]"
NVIDIA B300 SXM6 PC,4,3648,backward,5.7824200093746185,4.1926299929618835,490.7675573132428,676.860144616582,37.91879570878724,37.67288009202321,38.16471132555127,0.014843527790708487,0.09865496458618819,5.796948891656939,4.20793589000823,"[5.78327214717865, 5.782407999038696, 5.781247973442078, 5.78275191783905]","[4.188112020492554, 4.195528030395508, 4.196695923805237, 4.190183997154236]"
NVIDIA B300 SXM6 PC,4,3648,full,8.736601948738098,5.287899971008301,487.23018858090893,804.9956009716883,65.21894132569801,64.83537855517358,65.60250409622245,0.06292608406308335,0.12007991046164422,8.750786779273767,5.302236815623473,"[8.744791984558105, 8.732967853546143, 8.734256029129028, 8.734391927719116]","[5.285743951797485, 5.287024021148682, 5.281967997550964, 5.296863913536072]"
